n,p,method,time_mean,time_std,time_median
10000,10,xi_n,0.002009740000357851,0.0001516427930194864,0.001990699995076284
10000,10,mi,0.09233173666483102,0.013195784856183985,0.08928485000797082
10000,10,pearson,0.00031090999643007913,5.324129000923641e-05,0.0002851999888662249
10000,10,spearman,0.003332669999023589,0.00037696641485998676,0.0031313000072259456
10000,50,xi_n,0.002026523331490656,0.0001306538749633974,0.002009650008403696
10000,50,mi,0.09151776666888813,0.0030095331313491707,0.09188415000971872
10000,50,pearson,0.00031210666541786245,5.691023062606813e-05,0.0002904499997384846
10000,50,spearman,0.003209876669764829,0.00033502417802692074,0.0030986499914433807
10000,100,xi_n,0.0020563966643142822,0.00014909323293572406,0.0020224500040058047
10000,100,mi,0.10817421999915193,0.013189195759860203,0.10758014998282306
10000,100,pearson,0.0003011666665164133,4.423796495897464e-05,0.00028229999588802457
10000,100,spearman,0.003465736665142079,0.0005646258008365832,0.0031189000146696344
10000,500,xi_n,0.002035186667732584,0.00019440196376589142,0.002001949993427843
10000,500,mi,0.091655853332486,0.003640798558745121,0.09281770000234246
10000,500,pearson,0.000304926671863844,4.182590289835526e-05,0.000288950017420575
10000,500,spearman,0.0033397799998056144,0.000399801264228947,0.0031238999945344403
10000,1000,xi_n,0.0019772799966934445,0.00012966235233415833,0.0019557999912649393
10000,1000,mi,0.09378288666387864,0.009650006548267288,0.09051774999534246
10000,1000,pearson,0.0003028266684850678,4.7314328247166374e-05,0.00028139998903498054
10000,1000,spearman,0.0034226466678470993,0.0004766456396048358,0.0031505500082857907
